,counts,breaks
Bar0,3.068181818,121.9726047
Bar1,6.022727273,123.9352215
Bar2,10.11363636,125.9920097
Bar3,7.954545455,127.9531997
Bar4,14.88636364,129.8220019
Bar5,18.86363636,131.9711779
Bar6,33.97727273,133.9337947
Bar7,41.70454545,135.8960548
Bar8,37.84090909,137.9531997
Bar9,46.81818182,139.9154598
Bar10,33.86363636,141.9715346
Bar11,49.65909091,143.8403367
Bar12,34.88636364,145.9902262
Bar13,33.63636364,147.859385
Bar14,34.88636364,149.9151031
Bar15,26.02272727,151.784262
Bar16,20.90909091,153.933438
Bar17,17.84090909,155.8025968
Bar18,6.022727273,157.8586716
Bar19,6.022727273,160.0082043
Bar20,2.159090909,161.7835485
Bar21,0.681818182,163.8392666
Bar22,1.931818182,165.8953414
Bar23,0.795454545,167.8586716
blah,NA,170.0078476
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
F,germination_success,
0.374536315,0.009881518,
0.374215568,0.110404291,
0.374597316,0.123892524,
0.374611747,0.15086287,
0.374997431,0.171706653,
0.375023668,0.220743645,
0.374302806,0.273452289,
0.249929488,0.219721275,
0.249940639,0.240561997,
0.249959005,0.274887891,
0.249602837,0.309210725,
0.249987865,0.328828583,
0.250020006,0.388898898,
0.250026565,0.401158146,
0.250410281,0.418324154,
0.249669741,0.434255054,
0.250048866,0.442839589,
0.249323413,0.48696676,
0.249716968,0.52252164,
0.250874677,0.586278913,
0.125937263,0.878252571,
0.125923488,0.85250815,
0.125916929,0.840248902,
0.125529277,0.815727345,
0.125516815,0.792434774,
0.125871014,0.754434166,
0.12586052,0.734819369,
0.125848713,0.712752723,
0.126585973,0.690692198,
0.125796239,0.614678739,
0.125769346,0.564415822,
0.125384974,0.546023889,
0.125726055,0.483504785,
0.125330532,0.44427213,
0.001658398,1.001054728,
0.001648559,0.982665856,
0.001264843,0.965499848,
0.001259596,0.95569245,
0.001629538,0.947114037,
0.001249757,0.937303578,
0.00086932,0.926267193,
0.001238606,0.916462856,
0.001607892,0.906658519,
0.001588214,0.869880775,
